report_month	billing_year	billing_month	billing_cycle	billing_day	billing_amount
3/1/2023	2023	2	26	26	210554102.2
3/1/2023	2023	2	27	27	64441536.71
3/1/2023	2023	2	28	28	253514917.7
3/1/2023	2023	2	29	28	55354071.88
3/1/2023	2023	2	30	28	53509471.85
3/1/2023	2023	2	31	28	31236831.96
3/1/2023	2023	3	1	1	317255643.8
3/1/2023	2023	3	2	2	201946952.2
3/1/2023	2023	3	3	3	203804989.2
3/1/2023	2023	3	4	4	203001783.9
3/1/2023	2023	3	5	5	59779873.69
3/1/2023	2023	3	6	6	217722117.1
3/1/2023	2023	3	7	7	205667271.5
3/1/2023	2023	3	8	8	156718599.1
3/1/2023	2023	3	9	9	209127930.6
3/1/2023	2023	3	10	10	252459877.7
3/1/2023	2023	3	11	11	58884465.1
3/1/2023	2023	3	12	12	230301857.3
3/1/2023	2023	3	13	13	209663151.2
3/1/2023	2023	3	14	14	63741774.02
3/1/2023	2023	3	15	15	237426321.9
3/1/2023	2023	3	16	16	212987675.6
3/1/2023	2023	3	17	17	62076237.92
3/1/2023	2023	3	18	18	227551762
3/1/2023	2023	3	19	19	208103312.9
3/1/2023	2023	3	20	20	215376685.9
3/1/2023	2023	3	21	21	209270829
3/1/2023	2023	3	22	22	209216281.5
3/1/2023	2023	3	23	23	316559002.4
3/1/2023	2023	3	24	24	60190332.12
3/1/2023	2023	3	25	25	238311832.2
4/1/2023	2023	3	26	26	209711447.5
4/1/2023	2023	3	27	27	64707395.03
4/1/2023	2023	3	28	28	252667057.1
4/1/2023	2023	3	29	29	55765660.9
4/1/2023	2023	3	30	30	54119226.19
4/1/2023	2023	3	31	31	31664066.3
4/1/2023	2023	4	1	1	319334792.7
4/1/2023	2023	4	2	2	202349306.6
4/1/2023	2023	4	3	3	205237894.4
4/1/2023	2023	4	4	4	204025990.3
4/1/2023	2023	4	5	5	60332479.92
4/1/2023	2023	4	6	6	218383019.7
4/1/2023	2023	4	7	7	206160176.3
4/1/2023	2023	4	8	8	156610825
4/1/2023	2023	4	9	9	210230254.3
4/1/2023	2023	4	10	10	256441433.9
4/1/2023	2023	4	11	11	59438131.09
4/1/2023	2023	4	12	12	232480885.4
4/1/2023	2023	4	13	13	211185876.1
4/1/2023	2023	4	14	14	64689042.95
4/1/2023	2023	4	15	15	238924177.1
4/1/2023	2023	4	16	16	214712309.9
4/1/2023	2023	4	17	17	62805850.1
4/1/2023	2023	4	18	18	229274601.7
4/1/2023	2023	4	19	19	210276091
4/1/2023	2023	4	20	20	217764722.7
4/1/2023	2023	4	21	21	211121216
4/1/2023	2023	4	22	22	210511207.8
4/1/2023	2023	4	23	23	319889700.5
4/1/2023	2023	4	24	24	61450111.67
4/1/2023	2023	4	25	25	240861280.4
5/1/2023	2023	4	26	26	212938912.6
5/1/2023	2023	4	27	27	65934824.14
5/1/2023	2023	4	28	28	257024357.4
5/1/2023	2023	4	29	29	57617556.35
5/1/2023	2023	4	30	30	55439573.81
5/1/2023	2023	4	31	30	31942129.93
5/1/2023	2023	5	1	1	321833767.6
5/1/2023	2023	5	2	2	205185974.8
5/1/2023	2023	5	3	3	207858253.7
5/1/2023	2023	5	4	4	206986152.1
5/1/2023	2023	5	5	5	61479944.52
5/1/2023	2023	5	6	6	220711780.1
5/1/2023	2023	5	7	7	209272450.8
5/1/2023	2023	5	8	8	158717367.2
5/1/2023	2023	5	9	9	213184390.6
5/1/2023	2023	5	10	10	257416169.3
5/1/2023	2023	5	11	11	60734027.23
